"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5839","createUserWithoutPasswordFailure","","Sat Jan 18 20:19:41 MSK 2025","passed","Sat Jan 18 20:19:47 MSK 2025","","com.stellarburgers.tests.UserCreationTests","com.stellarburgers.tests.UserCreationTests","createUserWithoutPasswordFailure"
"","6214","createUserWithoutEmailFailure","","Sat Jan 18 20:19:34 MSK 2025","passed","Sat Jan 18 20:19:41 MSK 2025","","com.stellarburgers.tests.UserCreationTests","com.stellarburgers.tests.UserCreationTests","createUserWithoutEmailFailure"
"","7264","createOrderWithoutAuthorizationSuccess","","Sat Jan 18 20:18:51 MSK 2025","passed","Sat Jan 18 20:18:59 MSK 2025","","com.stellarburgers.tests.OrderCreationTests","com.stellarburgers.tests.OrderCreationTests","createOrderWithoutAuthorizationSuccess"
"","5981","createOrderWithInvalidIngredientHashFailure","","Sat Jan 18 20:19:07 MSK 2025","passed","Sat Jan 18 20:19:13 MSK 2025","","com.stellarburgers.tests.OrderCreationTests","com.stellarburgers.tests.OrderCreationTests","createOrderWithInvalidIngredientHashFailure"
"","10081","loginWithValidCredentialsSuccess","","Sat Jan 18 20:17:44 MSK 2025","passed","Sat Jan 18 20:17:54 MSK 2025","","com.stellarburgers.tests.UserLoginTests","com.stellarburgers.tests.UserLoginTests","loginWithValidCredentialsSuccess"
"","6253","createUserWithoutNameFailure","","Sat Jan 18 20:19:53 MSK 2025","passed","Sat Jan 18 20:19:59 MSK 2025","","com.stellarburgers.tests.UserCreationTests","com.stellarburgers.tests.UserCreationTests","createUserWithoutNameFailure"
"","6549","loginWithInvalidEmailFailure","","Sat Jan 18 20:18:01 MSK 2025","passed","Sat Jan 18 20:18:07 MSK 2025","","com.stellarburgers.tests.UserLoginTests","com.stellarburgers.tests.UserLoginTests","loginWithInvalidEmailFailure"
"","9315","updateUserEmailAndNameWithAuthorizationSuccess","","Sat Jan 18 20:18:22 MSK 2025","passed","Sat Jan 18 20:18:31 MSK 2025","","com.stellarburgers.tests.UserDataUpdateTests","com.stellarburgers.tests.UserDataUpdateTests","updateUserEmailAndNameWithAuthorizationSuccess"
"","5433","createExistingUserFailure","","Sat Jan 18 20:19:29 MSK 2025","passed","Sat Jan 18 20:19:34 MSK 2025","","com.stellarburgers.tests.UserCreationTests","com.stellarburgers.tests.UserCreationTests","createExistingUserFailure"
"","8656","createOrderWithValidIngredientsSuccess","","Sat Jan 18 20:18:59 MSK 2025","passed","Sat Jan 18 20:19:07 MSK 2025","","com.stellarburgers.tests.OrderCreationTests","com.stellarburgers.tests.OrderCreationTests","createOrderWithValidIngredientsSuccess"
"","6031","createUniqueUserSuccess","","Sat Jan 18 20:19:47 MSK 2025","passed","Sat Jan 18 20:19:53 MSK 2025","","com.stellarburgers.tests.UserCreationTests","com.stellarburgers.tests.UserCreationTests","createUniqueUserSuccess"
"","6058","getOrdersWithAuthorizationSuccess","","Sat Jan 18 20:18:31 MSK 2025","passed","Sat Jan 18 20:18:37 MSK 2025","","com.stellarburgers.tests.UserOrdersTests","com.stellarburgers.tests.UserOrdersTests","getOrdersWithAuthorizationSuccess"
"","8606","updateUserEmailWithAuthorizationFailure","","Sat Jan 18 20:18:07 MSK 2025","passed","Sat Jan 18 20:18:16 MSK 2025","","com.stellarburgers.tests.UserDataUpdateTests","com.stellarburgers.tests.UserDataUpdateTests","updateUserEmailWithAuthorizationFailure"
"","5777","getUserOrdersWithoutAuthorizationFailure","","Sat Jan 18 20:18:37 MSK 2025","passed","Sat Jan 18 20:18:43 MSK 2025","","com.stellarburgers.tests.UserOrdersTests","com.stellarburgers.tests.UserOrdersTests","getUserOrdersWithoutAuthorizationFailure"
"","6598","loginWithInvalidPasswordFailure","","Sat Jan 18 20:17:54 MSK 2025","passed","Sat Jan 18 20:18:01 MSK 2025","","com.stellarburgers.tests.UserLoginTests","com.stellarburgers.tests.UserLoginTests","loginWithInvalidPasswordFailure"
"","8100","createOrderWithAuthorizationSuccess","","Sat Jan 18 20:19:21 MSK 2025","passed","Sat Jan 18 20:19:29 MSK 2025","","com.stellarburgers.tests.OrderCreationTests","com.stellarburgers.tests.OrderCreationTests","createOrderWithAuthorizationSuccess"
"","6027","updateUserWithoutAuthorizationFailure","","Sat Jan 18 20:18:16 MSK 2025","passed","Sat Jan 18 20:18:22 MSK 2025","","com.stellarburgers.tests.UserDataUpdateTests","com.stellarburgers.tests.UserDataUpdateTests","updateUserWithoutAuthorizationFailure"
"","8319","createOrderWithOneValidIngredientSuccess","","Sat Jan 18 20:18:43 MSK 2025","passed","Sat Jan 18 20:18:51 MSK 2025","","com.stellarburgers.tests.OrderCreationTests","com.stellarburgers.tests.OrderCreationTests","createOrderWithOneValidIngredientSuccess"
"","7578","createOrderWithoutIngredientsFailure","","Sat Jan 18 20:19:13 MSK 2025","passed","Sat Jan 18 20:19:21 MSK 2025","","com.stellarburgers.tests.OrderCreationTests","com.stellarburgers.tests.OrderCreationTests","createOrderWithoutIngredientsFailure"
